event_id,stock_code,csv_agent,csv_direct_like,parsed_disclosure_type,mismatch
配股_00866.hk_05/03/26,00866,"國泰君安, 天風國際",False,AGENT_SOURCED,False
配股_00875.hk_17/08/26,00875,Funderstone Securities Limited,False,AGENT_SOURCED,False
配股_00875.hk_01/04/26,00875,Funderstone,False,AGENT_SOURCED,False
配股_00876.hk_18/03/26,00876,-,False,NO_DEF,False
配股_00899.hk_24/08/26,00899,鼎石,False,AGENT_SOURCED,False
供股_00899.hk_15/09/25,00899,,True,UNKNOWN,False
供股_00905.hk_09/04/24,00905,,True,UNKNOWN,False
供股_00913.hk_26/05/26,00913,,True,UNKNOWN,False
配股_00927.hk_16/01/26,00927,德林,False,AGENT_SOURCED,False
供股_00928.hk_23/07/26,00928,,True,UNKNOWN,False
配股_00931.hk_05/03/26,00931,-,True,AGENT_SOURCED,True
配股_00931.hk_14/08/26,00931,-,True,DIRECT_SUBSCRIPTION,False
配股_00943.hk_04/01/26,00943,-,False,NO_DEF,False
供股_00943.hk_15/05/25,00943,,True,AGENT_SOURCED,True
配股_00948.hk_12/11/25,00948,-,True,AGENT_SOURCED,True
供股_00948.hk_12/08/26,00948,,True,UNKNOWN,False
配股_00948.hk_12/02/26,00948,-,True,DIRECT_SUBSCRIPTION,False
配股_00953.hk_21/01/26,00953,-,False,NO_DEF,False
配股_00970.hk_16/01/26,00970,-,True,DIRECT_SUBSCRIPTION,False
配股_00979.hk_15/07/26,00979,"第一, 未來",False,AGENT_SOURCED,False
配股_00990.hk_18/12/25,00990,-,True,AGENT_SOURCED,True
配股_00994.hk_27/05/26,00994,遠源,False,AGENT_SOURCED,False
配股_01002.hk_30/12/25,01002,-,False,NO_DEF,False
配股_01003.hk_11/11/25,01003,-,True,AGENT_SOURCED,True
配股_01003.hk_19/05/26,01003,-,True,DIRECT_SUBSCRIPTION,False
供股_01010.hk_10/05/24,01010,,True,UNKNOWN,False
配股_01011.hk_17/06/26,01011,-,True,AGENT_SOURCED,True
配股_01020.hk_21/08/26,01020,-,False,NO_DEF,False
